source_case_index,c3_order,case_id,source_i08_case_id,source_name_cn,c3_name_cn,source_stationarity,c3_stationary_eligible,c3_layer,c3_claim,classification_disposition,authority_action,response_value_action
1,2,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,GB50009 江苏沿江50年基本风速,GB50009江苏沿海50年一遇,stationary_ok,true,L0,code_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
2,3,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,GB50009 江苏沿江100年基本风速,GB50009江苏沿海100年一遇,stationary_ok,true,L0,code_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
3,1,site_sutong_100yr_obs,I08-site_sutong_100yr_obs-S20260805,苏通桥址实测百年设计风速,苏通同河段100年一遇观测外延,stationary_ok,true,L0,anchor_design,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
4,4,hko_t10,I08-hko_t10-S20260805,香港十号台风信号阈值,香港T10门槛,stationary_ok,true,L0,threshold,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
5,5,asce7_risk4_fl,I08-asce7_risk4_fl-S20260805,ASCE 7 IV类风险佛州角风区,ASCE7风险IV类佛罗里达,stationary_ok,true,L3,offsite_reference,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
6,14,ss_cat1,I08-ss_cat1-S20260805,萨菲尔-辛普森1级下限,萨菲尔-辛普森1级下限,stationary_ok,true,L1,scale_anchor,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
7,15,ss_cat2,I08-ss_cat2-S20260805,萨菲尔-辛普森2级下限,萨菲尔-辛普森2级下限,stationary_ok,true,L1,scale_anchor,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
8,16,ss_cat3,I08-ss_cat3-S20260805,萨菲尔-辛普森3级下限,萨菲尔-辛普森3级下限,stationary_ok,true,L1,scale_anchor,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
9,17,ss_cat4,I08-ss_cat4-S20260805,萨菲尔-辛普森4级下限,萨菲尔-辛普森4级下限,stationary_ok,true,L3,offsite_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
10,18,ss_cat5,I08-ss_cat5-S20260805,萨菲尔-辛普森5级下限,萨菲尔-辛普森5级下限,stationary_ok,true,L3,offsite_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
11,6,infa_2021_zhoushan,I08-infa_2021_zhoushan-S20260805,台风烟花登陆(长三角本地),2021烟花舟山登陆,stationary_ok,true,L2,same_sea,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
12,7,doksuri_2023_jinjiang,I08-doksuri_2023_jinjiang-S20260805,台风杜苏芮登陆福建,2023杜苏芮晋江登陆,stationary_ok,true,L2,same_sea,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
13,9,haiyan_2013_peak,I08-haiyan_2013_peak-S20260805,超强台风海燕巅峰,2013海燕峰值,stationary_ok,true,L3,offsite_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
14,8,meranti_2016_peak,I08-meranti_2016_peak-S20260805,超强台风莫兰蒂巅峰,2016莫兰蒂峰值,stationary_ok,true,L2,same_sea,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
15,12,goni_2020_landfall,I08-goni_2020_landfall-S20260805,超强台风天鹅登陆(史上最强登陆),2020天鹅登陆,stationary_ok,true,L3,offsite_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
16,11,tip_1979_peak,I08-tip_1979_peak-S20260805,超强台风Tip巅峰(最低气压),1979台风泰培峰值,stationary_ok,true,L3,needs_recheck,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
17,10,mangkhut_2018_peak,I08-mangkhut_2018_peak-S20260805,超强台风山竹巅峰,2018山竹峰值,stationary_ok,true,L3,offsite_envelope,UNCHANGED_STATIONARY_ELIGIBLE,PRESERVED_AS_SOURCE_PROVENANCE,NOT_TRANSFERRED_REQUIRES_C3_NATIVE_SOLVE
