trace_id,case_id,c3_case_id,physics_decision,final_status,dispatch,trace_json
trace:C3-site_sutong_100yr_obs-S20260830,site_sutong_100yr_obs,C3-site_sutong_100yr_obs-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-site_sutong_100yr_obs-S20260830"", ""case_id"": ""site_sutong_100yr_obs"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 1, ""case_id"": ""site_sutong_100yr_obs"", ""grade"": ""A"", ""source_case_index"": 3, ""source_i08_case_id"": ""I08-site_sutong_100yr_obs-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L0"", ""c3_stationary_eligible"": true, ""claim"": ""anchor_design"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-site_sutong_100yr_obs-S20260830""}"
trace:C3-site_gb50009_50yr-S20260830,site_gb50009_50yr,C3-site_gb50009_50yr-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-site_gb50009_50yr-S20260830"", ""case_id"": ""site_gb50009_50yr"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 2, ""case_id"": ""site_gb50009_50yr"", ""grade"": ""B"", ""source_case_index"": 1, ""source_i08_case_id"": ""I08-site_gb50009_50yr-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L0"", ""c3_stationary_eligible"": true, ""claim"": ""code_envelope"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-site_gb50009_50yr-S20260830""}"
trace:C3-site_gb50009_100yr-S20260830,site_gb50009_100yr,C3-site_gb50009_100yr-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-site_gb50009_100yr-S20260830"", ""case_id"": ""site_gb50009_100yr"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 3, ""case_id"": ""site_gb50009_100yr"", ""grade"": ""B"", ""source_case_index"": 2, ""source_i08_case_id"": ""I08-site_gb50009_100yr-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L0"", ""c3_stationary_eligible"": true, ""claim"": ""code_envelope"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-site_gb50009_100yr-S20260830""}"
trace:C3-hko_t10-S20260830,hko_t10,C3-hko_t10-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-hko_t10-S20260830"", ""case_id"": ""hko_t10"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 4, ""case_id"": ""hko_t10"", ""grade"": ""B"", ""source_case_index"": 4, ""source_i08_case_id"": ""I08-hko_t10-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L0"", ""c3_stationary_eligible"": true, ""claim"": ""threshold"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-hko_t10-S20260830""}"
trace:C3-asce7_risk4_fl-S20260830,asce7_risk4_fl,C3-asce7_risk4_fl-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-asce7_risk4_fl-S20260830"", ""case_id"": ""asce7_risk4_fl"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 5, ""case_id"": ""asce7_risk4_fl"", ""grade"": ""B"", ""source_case_index"": 5, ""source_i08_case_id"": ""I08-asce7_risk4_fl-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L3"", ""c3_stationary_eligible"": true, ""claim"": ""offsite_reference"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-asce7_risk4_fl-S20260830""}"
trace:C3-infa_2021_zhoushan-S20260830,infa_2021_zhoushan,C3-infa_2021_zhoushan-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-infa_2021_zhoushan-S20260830"", ""case_id"": ""infa_2021_zhoushan"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 6, ""case_id"": ""infa_2021_zhoushan"", ""grade"": ""A"", ""source_case_index"": 11, ""source_i08_case_id"": ""I08-infa_2021_zhoushan-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L2"", ""c3_stationary_eligible"": true, ""claim"": ""same_sea"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-infa_2021_zhoushan-S20260830""}"
trace:C3-doksuri_2023_jinjiang-S20260830,doksuri_2023_jinjiang,C3-doksuri_2023_jinjiang-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-doksuri_2023_jinjiang-S20260830"", ""case_id"": ""doksuri_2023_jinjiang"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 7, ""case_id"": ""doksuri_2023_jinjiang"", ""grade"": ""A"", ""source_case_index"": 12, ""source_i08_case_id"": ""I08-doksuri_2023_jinjiang-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L2"", ""c3_stationary_eligible"": true, ""claim"": ""same_sea"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-doksuri_2023_jinjiang-S20260830""}"
trace:C3-meranti_2016_peak-S20260830,meranti_2016_peak,C3-meranti_2016_peak-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-meranti_2016_peak-S20260830"", ""case_id"": ""meranti_2016_peak"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 8, ""case_id"": ""meranti_2016_peak"", ""grade"": ""A"", ""source_case_index"": 14, ""source_i08_case_id"": ""I08-meranti_2016_peak-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L2"", ""c3_stationary_eligible"": true, ""claim"": ""same_sea"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-meranti_2016_peak-S20260830""}"
trace:C3-haiyan_2013_peak-S20260830,haiyan_2013_peak,C3-haiyan_2013_peak-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-haiyan_2013_peak-S20260830"", ""case_id"": ""haiyan_2013_peak"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 9, ""case_id"": ""haiyan_2013_peak"", ""grade"": ""A"", ""source_case_index"": 13, ""source_i08_case_id"": ""I08-haiyan_2013_peak-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L3"", ""c3_stationary_eligible"": true, ""claim"": ""offsite_envelope"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-haiyan_2013_peak-S20260830""}"
trace:C3-mangkhut_2018_peak-S20260830,mangkhut_2018_peak,C3-mangkhut_2018_peak-S20260830,AWAITING_C3_CASE_RESPONSE,NOT_ARMED,false,"{""c3_case_id"": ""C3-mangkhut_2018_peak-S20260830"", ""case_id"": ""mangkhut_2018_peak"", ""dispatch"": false, ""final_status"": ""NOT_ARMED"", ""steps"": [{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 10, ""case_id"": ""mangkhut_2018_peak"", ""grade"": ""A"", ""source_case_index"": 17, ""source_i08_case_id"": ""I08-mangkhut_2018_peak-S20260805""}, ""status"": ""PASS""}, {""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY""}, {""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L3"", ""c3_stationary_eligible"": true, ""claim"": ""offsite_envelope"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE""}, {""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED""}], ""trace_id"": ""trace:C3-mangkhut_2018_peak-S20260830""}"
