sequence,run_id,authoritative_run,status,mapdl_started,from_scratch_required,physical_execution_completed,taskbook_decision,reason,next_allowed_action
3,A10_H175_AXIS_ONLY,A10_H175_AXIS_20260715T172214962299Z,PASS_WITH_LEGACY_LIMITATIONS,true,true,true,PHYSICALLY_CORRECT_NOT_DOMINANT,"2698根H175轴已按物理方向修正并完成静力与80阶模态；因B00未形成同口径最终物理映射，未宣称频移因果封板",A30_HASH_EQUIVALENCE
4,A20_RHS5030_AXIS_ONLY,A20_RHS5030_AXIS_20260715T214637371159Z,COMPLETED_NO_SOLVE_ALREADY_CORRECT,false,true,true,PHYSICALLY_CORRECT_NOT_DOMINANT,"2898根RHS50x30逐件源证表明原方向已正确，物理改动为0，重复求解无新增信息",A30_HASH_EQUIVALENCE
5,A30_ALL_AXES,A30_ALL_AXES_20260715T230922215766Z,COMPLETED_BY_INPUT_IDENTITY_WITH_A10_RESULTS,false,true,true,PHYSICALLY_CORRECT_NOT_DOMINANT,"A20为零差异，A30可执行输入与A10字节等价；A10静力和模态结果复用门禁通过",S10_SECTION_SHEAR
6,S10_SECTION_SHEAR,S10_SECTION_SHEAR_20260715T232342329492Z,PREPARED_WAITING_RESOURCE_GATE,false,true,false,REJECTED,"源证和单变量输入已封板，但当前内存与磁盘均低于全桥启动硬门槛",RECHECK_RESOURCES_THEN_EXPLICIT_LAUNCH
7,C10_MPC_ONLY,C10_VALIDATION_GATE_20260715T232502Z,VALIDATION_GATE_MISSING,false,true,false,REJECTED,"候选不是从正式S10派生的纯连接差分，且缺五档乘六工况、全桥相邻档、矩阵和静力门禁",REBUILD_FROM_EXECUTED_S10_AND_CLOSE_VALIDATION
8,C20_HINGES,NOT_CREATED,NOT_STARTED_UPSTREAM_REJECTED,false,true,false,REJECTED,"施工图铰接源存在但C10未获准启动，六自由度图纸台账尚未集成到封板连接线",WAIT_FOR_C10_PASS
9,D10_DOWNPULL,NOT_CREATED,NOT_STARTED_UPSTREAM_REJECTED,false,true,false,REJECTED,"MD3-28与复核报告给出物理下拉源，但C20未执行且分配梁耳板接口未集成",WAIT_FOR_C20_PASS
10,M20_ROTARY_SOURCE,NOT_CREATED,NOT_STARTED_UPSTREAM_REJECTED,false,true,false,REJECTED,"D10未执行，构件自身质心转动惯量分项账本尚未封板",WAIT_FOR_D10_PASS
11,W_R_SELECTED,NOT_CREATED,NOT_STARTED_UPSTREAM_REJECTED,false,true,false,REJECTED,"M20未执行，翘曲端约束、释放与偏置未形成逐构件源证决策",WAIT_FOR_M20_PASS
12,F00_PRODUCTION,NOT_CREATED,NOT_STARTED_UPSTREAM_REJECTED,false,true,false,REJECTED,"S10及连接后续链未完成，不存在合法生产候选",WAIT_FOR_ALL_SELECTED_VARIANTS_PASS
13,F10_MESH_CHECK,NOT_CREATED,NOT_STARTED_UPSTREAM_REJECTED,false,true,false,REJECTED,"F00不存在，局部网格减半收敛检查无合法父线",WAIT_FOR_F00_PASS
